PMC7767363
---
ijms-21-09764-t001
---
# Instructions
You will be given a table describing the results of an animal toxicity study. Your task is to identify label each of the columns with any of 8 types. Remember that each column can have multiple labels or none at all and that some types can be used to label multiple columns. Each label should be indicated as a list of information, each one occupying its own line with the columns being labelled in order from left to right. The first two elements should be the column header and the labels, followed by any additional information as instructed below. Format the lists within triangle brackets with terms separated by |'s like so: <intestinal lesions|count|any other information requested>. If there are multiple labels, separate them into multiple lists with the same first element but different labels. If no labels are applicable to a column, do not add any labels and continue to the next column. Do not add any other text besides your labels and do not add any extra whitespace within the labels. Below are the labels with instructions on what additional information to retrieve for each. Make sure to only select from these types, omitting any labels if not applicable, and always label with the specific word associated with each type, as notated in the titles. If you are unsure if a label is applicable or not, just omit it; not every column has to have a label.
# Labels
1. Group Name (group)
If the column contains information on the group name, it should be labeled as group. If the column is a group name column, do not label it with any other types even if it references other types of information such as the treatment medication or dosage. No additional information should be added.
2. Treatment Dosage (dose)
If the column contains information on the dosage amount of a medication, label it with dose. If the dosage information is directly linked to a column that gives information on what medication is used (it should contain multiple medications, indicating which one was used in each treatment group), indicate the column title in additional information, prefacing with 'link:'. Note that this linked column could be the same column as the one being labeled if that column lists different medications used and their respective dosages. If the column is instead related to the dosage of a singular medication/treatment, then return the name of that as additional information, prefacing with 'name:'. Also, if there is data on the units, add the units as additional information, prefacing the list entry with 'units:', with each different form of units as its own element in the list. Note that in the list of additional information, while there can only be one item for 'link' or 'name', there could be multiple 'units' listed. Remember that this information can come from the column title or other text in the table, just be sure to verify the information is specifically about this column before answering. If there is no units information, do not add any additional information. A dosage label linked to a column may look like this: <medication|dose|link:Treatment Medication|units:mg/kg|units:mug/kg>. One that is about a specific treatment may look like this: <Treatment.Tamoxifen|dose|name:Tamoxifen|units:mug/kg>
3. Sample Size (size)
If the column contains information about the groups' sample sizes, label it as size. Note that some counted biomarkers could contain information about this when representing the frequency (ie. one way of representing this is [count]/[sample size]). Do not add any additional information.
4. Animal Model (animal)
If the column contains information on what animal model was used for the groups, label it as animal. However, only label it if the information is the species (mouse, rat, zebrafish, etc.), not the strain (CD-1, Sprague-Dawley, etc.). If the species is the same across all groups, include that as additional information. If else, add no additional information. There should only be one column labeled this.5. Terminal Time (time)
If the column contains information about the time at which the measurements were taken or when the treatment group was euthanized, label it as time. Be careful as these columns could also be group columns, where the treatment groups differ in when they were euthanized. They can also be biomarker columns, where the metrics differ based on what time they were measured. Do not add any additional information.Caption: Hematological and biochemical parameters measured after ApDC treatment (n = 3).
| Unnamed_0.Unnamed_1 | Hematology,10/muL.Platelet, counts.mean | Hematology,10/muL.Platelet, counts.SD | Hematology,10/muL.Red blood cells, M/muL.mean | Hematology,10/muL.Red blood cells, M/muL.SD | Hematology,10/muL.Hematocrits, %.mean | Hematology,10/muL.Hematocrits, %.SD | Hematology,10/muL.Neutrophil, absolute.mean | Hematology,10/muL.Neutrophil, absolute.SD | Hematology,10/muL.Lymphocyte.mean | Hematology,10/muL.Lymphocyte.SD | Clinical chemistry,U/L.ALT.mean | Clinical chemistry,U/L.ALT.SD | Clinical chemistry,U/L.AST.mean | Clinical chemistry,U/L.AST.SD | Clinical chemistry,U/L.ALP.mean | Clinical chemistry,U/L.ALP.SD | Clinical chemistry,U/L.GGT.mean | Clinical chemistry,U/L.GGT.SD |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Control(PBS) | 697.50 | 64.16 | 8.38 | 0.27 | 45.86 | 2.37 | 0.54 | 0.09 | 2.22 | 0.50 | 26.28 | 6.33 | 89.46 | 17.86 | 295.11 | 99.65 | 4.97 | 1.00 |
| DM1(60 mug/kg) | 632.40 | 101.64 | 8.08 | 0.35 | 46.38 | 1.41 | 0.37 | 0.15 | 1.78 | 0.89 | 32.29 | 14.33 | 89.20 | 11.66 | 292.01 | 84.44 | 7.02 | 2.11 |
| ApDC(3.85 mg/kg) | 425.33 | 66.11 | 7.69 | 0.34 | 43.17 | 1.20 | 0.31 | 0.11 | 1.55 | 0.18 | 42.93 | 14.86 | 95.35 | 20.89 | 211.76 | 44.13 | 6.28 | 3.67 |
Footnotes:
Hematological parameters and biochemical parameters were measured with a hematology system and an automated biochemistry analyzer 3 days after inoculation, respectively.

---
<Unnamed_0.Unnamed_1|group>
<Hematology,10/muL.Platelet, counts.mean|size>
<Hematology,10/muL.Platelet, counts.SD|size>
<Hematology,10/muL.Red blood cells, M/muL.mean|size>
<Hematology,10/muL.Red blood cells, M/muL.SD|size>
<Hematology,10/muL.Hematocrits, %.mean|size>
<Hematology,10/muL.Hematocrits, %.SD|size>
<Hematology,10/muL.Neutrophil, absolute.mean|size>
<Hematology,10/muL.Neutrophil, absolute.SD|size>
<Hematology,10/muL.Lymphocyte.mean|size>
<Hematology,10/muL.Lymphocyte.SD|size>
<Clinical chemistry,U/L.ALT.mean|size>
<Clinical chemistry,U/L.ALT.SD|size>
<Clinical chemistry,U/L.AST.mean|size>
<Clinical chemistry,U/L.AST.SD|size>
<Clinical chemistry,U/L.ALP.mean|size>
<Clinical chemistry,U/L.ALP.SD|size>
<Clinical chemistry,U/L.GGT.mean|size>
<Clinical chemistry,U/L.GGT.SD|size>
